# http://localhost:2811 --workers 10 --output-dir shinylogs/run3
# {"appUrl":"http://localhost:2811","debugLog":false,"loadedDurationMinutes":0.0,"logLevel":"WARN","outputDir":"shinylogs/run3","overwriteOutput":false,"recordingPath":"shinylogs/recording.log","workers":10}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
9,9,0,PLAYER_SESSION_CREATE,1588067685033,0,
9,9,0,REQ_HOME_START,1588067685033,4,
9,9,0,REQ_HOME_END,1588067726675,4,
9,9,0,WS_OPEN_START,1588067726675,5,
9,9,0,WS_OPEN_END,1588067744031,5,
9,9,0,WS_RECV_INIT_START,1588067744031,6,
9,9,0,WS_RECV_INIT_END,1588067752305,6,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067752305,7,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067752791,7,
9,9,0,WS_SEND_START,1588067752791,7,
9,9,0,WS_SEND_END,1588067752791,7,
9,9,0,WS_RECV_START,1588067752791,8,
9,9,0,WS_RECV_END,1588067755793,8,
9,9,0,WS_RECV_START,1588067755793,9,
9,9,0,WS_RECV_END,1588067756156,9,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067756156,10,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067757507,10,
9,9,0,WS_SEND_START,1588067757507,10,
9,9,0,WS_SEND_END,1588067757507,10,
9,9,0,WS_RECV_START,1588067757507,11,
9,9,0,WS_RECV_END,1588067758011,11,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067758011,12,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067758588,12,
9,9,0,WS_SEND_START,1588067758588,12,
9,9,0,WS_SEND_END,1588067758588,12,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067758588,13,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067758746,13,
9,9,0,WS_SEND_START,1588067758746,13,
9,9,0,WS_SEND_END,1588067758746,13,
9,9,0,WS_RECV_START,1588067758746,14,
9,9,0,WS_RECV_END,1588067759321,14,
9,9,0,WS_RECV_START,1588067759321,15,
9,9,0,WS_RECV_END,1588067759661,15,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067759661,16,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067761422,16,
9,9,0,WS_SEND_START,1588067761422,16,
9,9,0,WS_SEND_END,1588067761423,16,
9,9,0,WS_RECV_START,1588067761423,17,
9,9,0,WS_RECV_END,1588067761680,17,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067761680,18,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767155,18,
9,9,0,WS_SEND_START,1588067767161,18,
9,9,0,WS_SEND_END,1588067767161,18,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067767161,19,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767195,19,
9,9,0,WS_SEND_START,1588067767195,19,
9,9,0,WS_SEND_END,1588067767195,19,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067767196,20,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767199,20,
9,9,0,WS_SEND_START,1588067767199,20,
9,9,0,WS_SEND_END,1588067767199,20,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067767199,21,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767215,21,
9,9,0,WS_SEND_START,1588067767215,21,
9,9,0,WS_SEND_END,1588067767216,21,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067767216,22,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767227,22,
9,9,0,WS_SEND_START,1588067767227,22,
9,9,0,WS_SEND_END,1588067767227,22,
9,9,0,PLAYBACK_SLEEPBEFORE_START,1588067767228,23,
9,9,0,PLAYBACK_SLEEPBEFORE_END,1588067767236,23,
